"DISE id","School Name","Management","Medium of Instruction","Category","Sex","Cluster","Block","District","School Type","Assembly","Parliament","Pincode","Address","Landmark","Bus Number","Coordinates","BEO Name","BEO Contact","BEO Mobile","BEO Email","DDPI Name","DDPI Juristiction","DDPI Contact 1","DDPI Contact 2","DDPI Mobile","DDPI Email"
"33396","GKLPS GOPASANDRA","ed","kannada","Lower Primary","co-ed","nerlooru","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562107","Chandapura To Dommasandra Main Road, Mutha Nallur Post, Sarjapura Hobli, Anekal Thaluk, Bangalore South, Gopasandra","Opp Ashwath Katte","342B","POINT(77.73725 12.84763)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32856","GKLPS CHOODASANDRA","ed","kannada","Lower Primary","co-ed","huskuru","anekal","bangalore u south","primary","K.R. Pura","Bangalore Central","560103","Huskuru Post, Anekal Taluk, Choodasandra","Opposite Choodasandra Bus Stop","341B","POINT(77.68148 12.88891)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32918","GKLPS V KALLAHALLI","ed","kannada","Lower Primary","co-ed","dommasandra","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562125","Chikkadasarahalli Road, Sarjapura Post, Sarjapura Hobli, Anekal Taluk, V.Kallahalli","Opposite Maramma Temple(Mariyamma)","342 J","POINT(77.77701 12.88291)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33364","GKHPS NERIGE","ed","kannada","Upper Primary","co-ed","mugaluru","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562125","Neagari Post,Anekal taluk,Sarjapur Hobli, Neagari Village","Near Neagari Village Bus Stop","323,F,J,C,K,L","POINT(77.77923 12.90749)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33399","GKLPS NARAYANA GATTA","ed","kannada","Lower Primary","co-ed","chandapura","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562107","Chandapura To Dommasandra Main Road, Mutha Nallur Post, Sarjapura Hobli, Anekal Thaluk, Bangalore South, Narayana Gatta","Opp Mariyamma Temple","351","POINT(77.7252 12.83622)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32920","GKLPS CHAMBENAHALLI","ed","kannada","Lower Primary","co-ed","dommasandra","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562125","Sarjapura Main Road, Dommasandra Post, Sarjapura Hobli, Anekal Taluk, Chambenahalli","Opposite Venkateshwara Swamy Temple(Tirumala)","342 J","POINT(77.76322 12.88015)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33395","GKLPS CHIKKA TIMMASANDRA","ed","kannada","Lower Primary","co-ed","nerlooru","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562107","Mutha Nallur Post, Sarjapura Hobli, Anekal Thaluk, Bangalore South, Chikka Thimmasandra","Opp Shiv Temple","349E","POINT(77.74428 12.84532)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33378","GKLPS MATTANAHALLI","ed","kannada","Lower Primary","co-ed","mugaluru","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562125","Sarjapur Post, Anekal Taluk, Sarjapur Hobli, Mathna Halli","Next Ganapathi Temple","KSRTC","POINT(77.82934 12.87094)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33397","GKLPS ALI BOMMASANDRA","ed","kannada","Lower Primary","co-ed","nerlooru","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562107","Main Circle, Muthanallur Post, Sarjapura Hobli, Anekal Taluk, Bangalore South, Alibommasandra","Opposite Anjaneya Temple","350, 350 B","POINT(77.73659 12.82029)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33367","GKHPS THIPPASANDRA","ed","kannada","Upper Primary","co-ed","mugaluru","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562125","Gunjuru Post,Anekal taluk,Sarjapur Hobli, Thippa Sandra","Next Sharadha high School","","POINT(77.75311 12.91344)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
